id|symbol|date|price|volume
TSLA_2022-05-17|TSLA|2022-05-17|253.8699951171875|80236200
AAPL_2022-05-17|AAPL|2022-05-17|148.55934143066406|78336300
GOOGL_2022-05-17|GOOGL|2022-05-17|116.4729995727539|23054000
NFLX_2022-05-17|NFLX|2022-05-17|190.55999755859375|9876700
AMZN_2022-05-17|AMZN|2022-05-17|115.36849975585938|76448000
MSFT_2022-05-17|MSFT|2022-05-17|264.2278747558594|28828800
AMZN_2022-05-18|AMZN|2022-05-18|107.11250305175781|108380000
AAPL_2022-05-18|AAPL|2022-05-18|140.17774963378906|109742900
NFLX_2022-05-18|NFLX|2022-05-18|177.19000244140625|9665600
GOOGL_2022-05-18|GOOGL|2022-05-18|111.89949798583984|35126000
TSLA_2022-05-18|TSLA|2022-05-18|236.60333251953125|87811800
MSFT_2022-05-18|MSFT|2022-05-18|252.1976318359375|31356000
META_2022-05-18|META|2022-05-18|192.24000549316406|23960000
META_2022-05-19|META|2022-05-19|191.2899932861328|24446900
NFLX_2022-05-19|NFLX|2022-05-19|183.47999572753906|10448500
AMZN_2022-05-19|AMZN|2022-05-19|107.31900024414062|88142000
AAPL_2022-05-19|AAPL|2022-05-19|136.7235870361328|136095600
GOOGL_2022-05-19|GOOGL|2022-05-19|110.38400268554688|34144000
MSFT_2022-05-19|MSFT|2022-05-19|251.2646026611328|32692300
TSLA_2022-05-19|TSLA|2022-05-19|236.47332763671875|90296700
META_2022-05-20|META|2022-05-20|193.5399932861328|31465600
GOOGL_2022-05-20|GOOGL|2022-05-20|108.90799713134766|48962000
TSLA_2022-05-20|TSLA|2022-05-20|221.3000030517578|144973200
MSFT_2022-05-20|MSFT|2022-05-20|250.68890380859375|39199300
AAPL_2022-05-20|AAPL|2022-05-20|136.9624786376953|137426100
AMZN_2022-05-20|AMZN|2022-05-20|107.59100341796875|99500000
NFLX_2022-05-20|NFLX|2022-05-20|186.35000610351562|10429400
META_2022-05-23|META|2022-05-23|196.22999572753906|25059200
AMZN_2022-05-23|AMZN|2022-05-23|107.55699920654297|107798000
AAPL_2022-05-23|AAPL|2022-05-23|142.45730590820312|117726300
NFLX_2022-05-23|NFLX|2022-05-23|187.44000244140625|9602000
GOOGL_2022-05-23|GOOGL|2022-05-23|111.48799896240234|37184000
TSLA_2022-05-23|TSLA|2022-05-23|224.96665954589844|88903500
MSFT_2022-05-23|MSFT|2022-05-23|258.71893310546875|33175400
TSLA_2022-05-24|TSLA|2022-05-24|209.3866729736328|89092500
META_2022-05-24|META|2022-05-24|181.27999877929688|50406300
AAPL_2022-05-24|AAPL|2022-05-24|139.7198486328125|104132700
GOOGL_2022-05-24|GOOGL|2022-05-24|105.97000122070312|76780000
NFLX_2022-05-24|NFLX|2022-05-24|180.33999633789062|7706400
AMZN_2022-05-24|AMZN|2022-05-24|104.0999984741211|102934000
MSFT_2022-05-24|MSFT|2022-05-24|257.69659423828125|29043900
META_2022-05-25|META|2022-05-25|183.8300018310547|28030200
AMZN_2022-05-25|AMZN|2022-05-25|106.7750015258789|93120000
NFLX_2022-05-25|NFLX|2022-05-25|187.8300018310547|8522100
AAPL_2022-05-25|AAPL|2022-05-25|139.87911987304688|92482700
GOOGL_2022-05-25|GOOGL|2022-05-25|105.80500030517578|40258000
TSLA_2022-05-25|TSLA|2022-05-25|219.60000610351562|92139300
MSFT_2022-05-25|MSFT|2022-05-25|260.5751037597656|28547900
META_2022-05-26|META|2022-05-26|191.6300048828125|23056500
AMZN_2022-05-26|AMZN|2022-05-26|111.07749938964844|93002000
TSLA_2022-05-26|TSLA|2022-05-26|235.91000366210938|106003200
GOOGL_2022-05-26|GOOGL|2022-05-26|107.7925033569336|37948000
NFLX_2022-05-26|NFLX|2022-05-26|191.39999389648438|8049900
AAPL_2022-05-26|AAPL|2022-05-26|143.12423706054688|90601500
MSFT_2022-05-26|MSFT|2022-05-26|263.9300537109375|25002100
AMZN_2022-05-27|AMZN|2022-05-27|115.14649963378906|93660000
AAPL_2022-05-27|AAPL|2022-05-27|148.95751953125|90978500
NFLX_2022-05-27|NFLX|2022-05-27|195.19000244140625|8586000
GOOGL_2022-05-27|GOOGL|2022-05-27|112.31649780273438|37914000
TSLA_2022-05-27|TSLA|2022-05-27|253.2100067138672|89295000
META_2022-05-27|META|2022-05-27|195.1300048828125|22562700
MSFT_2022-05-27|MSFT|2022-05-27|271.2156677246094|26910800
AMZN_2022-05-31|AMZN|2022-05-31|120.20950317382812|144634000
AAPL_2022-05-31|AAPL|2022-05-31|148.1611785888672|103718400
NFLX_2022-05-31|NFLX|2022-05-31|197.44000244140625|11398500
MSFT_2022-05-31|MSFT|2022-05-31|269.8558654785156|37827700
TSLA_2022-05-31|TSLA|2022-05-31|252.75332641601562|101914500
GOOGL_2022-05-31|GOOGL|2022-05-31|113.76200103759766|50012000
META_2022-05-31|META|2022-05-31|193.63999938964844|26131100
META_2022-06-01|META|2022-06-01|188.63999938964844|36623500
GOOGL_2022-06-01|GOOGL|2022-06-01|113.89199829101562|36606000
NFLX_2022-06-01|NFLX|2022-06-01|192.91000366210938|8416200
MSFT_2022-06-01|MSFT|2022-06-01|270.4017639160156|25292200
AAPL_2022-06-01|AAPL|2022-06-01|148.03176879882812|74286600
AMZN_2022-06-01|AMZN|2022-06-01|121.68399810791016|127528000
TSLA_2022-06-01|TSLA|2022-06-01|246.7899932861328|77247900
MSFT_2022-06-02|MSFT|2022-06-02|272.5457458496094|44008200
NFLX_2022-06-02|NFLX|2022-06-02|205.08999633789062|9623100
AAPL_2022-06-02|AAPL|2022-06-02|150.52037048339844|72348100
GOOGL_2022-06-02|GOOGL|2022-06-02|117.62249755859375|37992000
TSLA_2022-06-02|TSLA|2022-06-02|258.3333435058594|93473100
AMZN_2022-06-02|AMZN|2022-06-02|125.51100158691406|100560000
META_2022-06-02|META|2022-06-02|198.86000061035156|31951600
AAPL_2022-06-03|AAPL|2022-06-03|144.71694946289062|88570300
GOOGL_2022-06-03|GOOGL|2022-06-03|114.54100036621094|26136000
MSFT_2022-06-03|MSFT|2022-06-03|268.01953125|28059000
TSLA_2022-06-03|TSLA|2022-06-03|234.51666259765625|112393800
NFLX_2022-06-03|NFLX|2022-06-03|198.97999572753906|7191800
META_2022-06-03|META|2022-06-03|190.77999877929688|19465000
AMZN_2022-06-03|AMZN|2022-06-03|122.3499984741211|97604000
MSFT_2022-06-06|MSFT|2022-06-06|266.75897216796875|22400300
NFLX_2022-06-06|NFLX|2022-06-06|197.13999938964844|5372000
GOOGL_2022-06-06|GOOGL|2022-06-06|116.82050323486328|33542000
AAPL_2022-06-06|AAPL|2022-06-06|145.47348022460938|71598400
AMZN_2022-06-06|AMZN|2022-06-06|124.79000091552734|135269000
META_2022-06-06|META|2022-06-06|194.25|30574200
TSLA_2022-06-06|TSLA|2022-06-06|238.27999877929688|84204600
META_2022-06-07|META|2022-06-07|195.64999389648438|18828700
GOOGL_2022-06-07|GOOGL|2022-06-07|117.14949798583984|31590000
AAPL_2022-06-07|AAPL|2022-06-07|148.03175354003906|67808200
AMZN_2022-06-07|AMZN|2022-06-07|123.0|85156700
NFLX_2022-06-07|NFLX|2022-06-07|198.61000061035156|4839500
TSLA_2022-06-07|TSLA|2022-06-07|238.8866729736328|72808500
MSFT_2022-06-07|MSFT|2022-06-07|270.4811706542969|22860700
AAPL_2022-06-08|AAPL|2022-06-08|147.2852020263672|53950200
META_2022-06-08|META|2022-06-08|196.63999938964844|22267200
AMZN_2022-06-08|AMZN|2022-06-08|121.18000030517578|64926600
TSLA_2022-06-08|TSLA|2022-06-08|241.86666870117188|76210500
NFLX_2022-06-08|NFLX|2022-06-08|202.8300018310547|7244100
MSFT_2022-06-08|MSFT|2022-06-08|268.40667724609375|17372300
GOOGL_2022-06-08|GOOGL|2022-06-08|117.19400024414062|26108000
AMZN_2022-06-09|AMZN|2022-06-09|116.1500015258789|67029800
NFLX_2022-06-09|NFLX|2022-06-09|192.77000427246094|6949000
GOOGL_2022-06-09|GOOGL|2022-06-09|114.83550262451172|25798000
TSLA_2022-06-09|TSLA|2022-06-09|239.7066650390625|96491400
MSFT_2022-06-09|MSFT|2022-06-09|262.8283386230469|26439700
AAPL_2022-06-09|AAPL|2022-06-09|141.9894561767578|69473000
META_2022-06-09|META|2022-06-09|184.0|23501600
META_2022-06-10|META|2022-06-10|175.57000732421875|27450800
MSFT_2022-06-10|MSFT|2022-06-10|251.11572265625|31422800
NFLX_2022-06-10|NFLX|2022-06-10|182.94000244140625|13065600
GOOGL_2022-06-10|GOOGL|2022-06-10|111.1614990234375|41452000
TSLA_2022-06-10|TSLA|2022-06-10|232.22999572753906|97536600
AAPL_2022-06-10|AAPL|2022-06-10|136.50457763671875|91437900
AMZN_2022-06-10|AMZN|2022-06-10|109.6500015258789|87266000
AAPL_2022-06-13|AAPL|2022-06-13|131.2785186767578|122207100
MSFT_2022-06-13|MSFT|2022-06-13|240.46519470214844|46135800
META_2022-06-13|META|2022-06-13|164.25999450683594|31749300
